name,County or Counties,Acres,Year,Water Body(s),lat,long,Remarks,Image,url,address,description,type
Lake Maria State Park,Wright,1475,1963,Several kettle lakes,45.3138543,-93.9572003﻿,Provides a lightly developed wilderness area near Minneapolis – Saint Paul in a morainal landscape of Big Woods.[66],,https://stateparks.com/lake_maria_state_park_in_minnesota.html,"11411 Clementa Avenue NorthwestMonticello, Minnesota   55362","Visitors who come to Lake Maria State Park will enjoy one of the few remaining stands of the ""Big Woods,"" a maple, oak and basswood forest that once covered part of southern Minnesota.The park is perfect for hikers, backpackers, horseback riders, and cross-country skiers who enjoy the challenge of the rolling terrain. Take a stroll on the boardwalk which winds through a marsh.Backpack sites, located on remote lakes and ponds throughout the park, are just two miles from the trailhead parking lot. New log camper cabins, located near lakes and ponds, provide bunk beds for six people and a table and benches for campers who want more of the creature comforts.Lake Maria State Park is home to the Blandings turtle, easily identified by bright yellow spots on its shell. It is one of Minnesota's threatened species.",state park
Lake Shetek State Park,Murray County,1109,1937,Lake Shetek,44.1021838,-95.6900114﻿,Features remnants of pioneer history around the largest lake in southwestern Minnesota.[67]  Two districts of WPA structures are on the NRHP.[68],,NA,NA,"The word ""Shetek"" is Ojibwe for ""pelican,"" a bird which visits Lake Shetek during the summer and fall. The park contains the largest lake in southwestern Minnesota, which forms the headwaters of the Des Moines River. Expect great fishing for walleye, northern, crappie, and bullheads. Loon Island, a 45-acre island on Lake Shetek, is accessible on foot via a causeway and includes an interpretive trail. Visit the Koch Cabin and monument memorializing pioneer settlers. The park includes a swimming beach, boat launch, campgrounds and a scenic six-mile loop bicycle trail into the town of Currie. Boat, canoe, and kayak rentals are available.",state park
Lake Vermilion-Soudan Underground Mine State Park,St. Louis,2875,2010,Lake Vermilion,47.83471,-92.19812﻿,Recently purchased and in development on the fifth-largest lake in Minnesota.[69],,NA,NA,"Adventure abounds at Lake Vermilion-Soudan Underground Mine State Park! Tour the historic underground mine, take a boat out or cast a line on Lake Vermilion, or hike through acres of old growth pine forest. The addition of nearly 3,000 acres and five miles of Lake Vermilion shoreline in 2010 adds even more opportunities to experience the wonders of northern Minnesota.",state park
Maplewood State Park,Otter Tail,8127,1963,Several kettle lakes,46.5335703,-95.9492193﻿,Preserves a forest/prairie transition zone in the Leaf Hills Moraines.[70]  A Native American archaeological site is on the NRHP.,,https://stateparks.com/maplewood_state_park_in_minnesota.html,"39721 Park Entrance RoadPelican Rapids, Minnesota   56572","The maple forest turns brilliant shades of orange, gold, and red in the fall. Eight major lakes and many ponds offer water lovers places to swim, fish, boat, and simply relax. Lake Lida has a sandy beach and large picnic areas for visitors. Drive along the scenic route to observe the wildlife: the park is host to 150 bird species and 50 species of mammals. The extensive trail system attracts hikers, horseback riders, and cross-country skiers.",state park
McCarthy Beach State Park,St. Louis,1908,1945,Sturgeon and Side Lakes,47.6727068,-93.0301834﻿,Features a .5-mile-long (0.80 km) beach on an isthmus between two lakes.[71],,https://stateparks.com/mccarthy_beach_state_park_in_minnesota.html,"7622 McCarthy Beach RoadSide Lake, Minnesota   55781","Come to McCarthy Beach State Park and you'll remember the lakes. Dig your toes into the sandy beach on Sturgeon Lake, rated one of the top 17 beaches in North America by Highways' Magazine. Launch a boat to explore Side Lake and the four connected lakes of the Sturgeon chain. Hikers, cross-country skiers, and snowmobilers enjoy the scenic trails winding through stands of large red and white pines. For longer ventures, head out on the Taconite Trail for access to hundreds of miles of additional trails.",state park
Mille Lacs Kathio State Park,Mille Lacs,9786,1957,"Mille Lacs Lake, Rum River",46.1288485,-93.7405269﻿,Preserves 19 identified archaeological sites dating back 9000 years. The entire park is a National Historic Landmark and four sites are individually listed on the NRHP.[6][72],,https://stateparks.com/mille_lacs_kathio_state_park_in_minnesota.html,"15066 Kathio State Park RoadOnamia, Minnesota   56359","Mille Lacs Kathio State Park has so much to offer and discover. Its 9000 years of human history and archaeological significance has made it a National Historic Landmark. You can learn about its rich history and all of Kathio's other treasures at the Visitor Center located next to the picnic grounds.Kathio's visitors can experience several different styles of camping year-round or even ""rough it"" in one of our new heated Camper Cabins. You can climb the 100 ft. observation/fire tower and look across the majesty of Mille Lacs Lake. Take part in Kathio's extensive interpretive/nature programs or get out by yourself and hike on the park's varied trail system. Kathio has a wonderful swimming beach plus canoes or rowboats you can rent for a trip on the historic Rum River and Ogechie and Shakopee lakes.In the winter, visitors can cross-country ski on trails described as the best in Minnesota or take the family sledding on our popular sliding hill. You can ride on Kathio's 19-mile statewide Grant-In-Aid snowmobile trail system or ""take it down a couple of notches"" and snowshoe on nearly 7 miles of pristine trail that will take you to places you cannot see in any other fashion.Mille Lacs Lake is the source of the Rum River which flows through the park. It links three lakes near its headwaters on a trip down to the Mississippi River just over 140 miles away. Two of those lakes, Ogechie and Shakopee, fall within Kathio's borders and provide good fishing and canoeing or boating opportunities. The river, lakes and park trails offer visitors excellent opportunities to watch waterfowl, bald eagles, osprey, otter, beaver, loons, deer, bear, coyotes and many others.While you're at Mille Lacs Kathio, take some time to visit the Mille Lacs Indian Museum located just two miles north on US Hwy. 169. It is run by the Minnesota State Historical Society and exhibits the Mille Lacs area history from 1680 forward.",state park
Minneopa State Park,Blue Earth,1617,1905,"Minnesota River, Minneopa Creek",44.1621879,-94.1021803﻿,Showcases the largest waterfall in southern Minnesota. The 1864 Seppman Mill and a district of WPA structures are each on the NRHP.[73],,https://stateparks.com/minneopa_state_park_in_minnesota.html,"54497 Gadwall RoadMankato, Minnesota   56001","The word Minneopa comes from the Dakota language and is interpreted to mean ""water falling twice,"" referring to the beautiful waterfalls of the Minneopa Creek. Walk the trail which encircles the falls, leading down a limestone stairway to the valley below. Ascend the opposite side and enjoy a panoramic view of the valley which reveals the underlying geology of this area. Visit Seppmann Mill, a wind driven grist mill fashioned in German style from native stone and lumber, or hike through oak savanna and native prairie grasslands overlooking the scenic Minnesota River Valley.",state park
Minnesota Valley State Recreation Area,"Hennepin, Dakota, Scott, Carver, Sibley, and Le Sueur",6442,1969,Minnesota River,44.661999,-93.703337﻿,Comprises non-contiguous sections interspersed with units of the Minnesota Valley National Wildlife Refuge in the valley formed by Glacial River Warren.[74],,NA,NA,NA,NA
Monson Lake State Park,Swift,343,1937,Monson and West Sunberg Lakes,45.3205175,-95.2750235﻿,Established as a memorial to settlers who died in the Dakota War of 1862.[75] A district of CCC and WPA structures is on the NRHP.[76],,NA,NA,"Cast your line for walleye, northerns, bass, and sunfish in Monson Lake. Birdwatchers look for white pelicans, herons, western grebes, and songbirds in this 346 acre park with a diverse landscape of wetlands and hardwood forests. The park includes a quiet campground and wooded picnic area. Paddle the lake and take a short portage that leads from Monson Lake to West Sunburg Lake.",state park
Moose Lake State Park,Carlton,829,1971,Moosehead and Echo Lakes,46.436319,-92.72521﻿,Provides water recreation and an exhibit hall on Lake Superior agates (the state gemstone) and the geology of Minnesota.[77],,NA,NA,"Rolling hills surrounded by fields, woods, ponds and fishing lakes make this park popular for hikers, anglers, canoeists, swimmers and campers. Quiet Echo Lake is ideal for catching bass, northerns and panfish. The Willard Munger Trail is located two miles west of the park. The trail stretches for 60 miles from Hinckley to west Duluth.",state park
Myre-Big Island State Park,Freeborn,1578,1947,Albert Lea Lake,43.6238465,-93.2890959﻿,Features two islands with old growth hardwood forest since they were out of reach of prairie fires. Also houses one of the state's largest research collections of Native American artifacts.[78],,https://stateparks.com/helmer_myre_state_park_in_minnesota.html,NA,"This park has something for everyone. The trails take visitors around wet lowlands, oak savanna, and grasslands. Albert Lea Lake and park marshes draw hundreds of waterfowl during migration. Oak savanna and prairie landscape, including wetlands, dominate most of the park. One of the more unique aspects of the park is the 116-acre Big Island, covered with maple/basswood forest. Another is the glacial esker located in the northeast section of the park.",state park
Nerstrand Big Woods State Park,Rice,1646,1945,Prairie Creek,44.3452425,-93.1074337﻿,Preserves a remnant stand of Big Woods.[79],,https://stateparks.com/nerstrand_woods_state_park_in_minnesota.html,"9700 170th Street EastNerstrand, Minnesota   55053","Enjoy this park on foot, any season of the year. In the spring, the park is a wildflower garden where hepatica, bloodroot, Dutchman's breeches, and the dwarf trout lily bloom. The dwarf trout lily is only found here. Relax by Hidden Falls in the summer. The autumn brings a burst of red, orange, and gold in the maple-basswood forest, one of the last extensive stands of the ""Big Woods."" When winter comes, ski or snowmobile the trails through picturesque woods.",state park
Old Mill State Park,Marshall,287,1951,Middle River,48.361364,-96.5703288﻿,Features two mills and a log cabin from the late 19th Century.[80]  The Larson Mill and a district of WPA structures are each on the NRHP.[81],,https://stateparks.com/old_mill_state_park_in_minnesota.html,"33489 240th Avenue NorthwestArgyle, Minnesota   56713","A log cabin and a steam-powered flour mill at Old Mill State Park are bold landmarks from the past. The grist mill still gets fired up once a year to grind flour. The Middle River meanders through the park and visitors can see deer, beaver, and moose. Enjoy the prairie and the ever-changing parade of wildflowers along wooded trails. A swimming area, swinging bridge, picnic grounds, campground, and interpretive displays are popular among visitors.",state park
Red River State Recreation Area,Polk,104,1997,Red River of the North and Red Lake River,47.9327778,-97.0355556﻿,"Reclaims land devastated by the 1997 Red River flood as part of the Greater Grand Forks Greenway, which serves the dual purpose of holding back river waters during floods and providing recreational opportunities.[82]",,NA,NA,NA,NA
Rice Lake State Park,Steele and Dodge,712,1963,Rice Lake,44.0874639,-93.061315﻿,Surrounds a shallow lake which attracts migrating waterfowl.[83],,NA,NA,"Long ago, American Indians harvested wild rice from this lake where today, the shallow waters and marshy edges of Rice Lake attract many waterfowl during migrations. Rice Lake is a major wetland in the area. Visitors enjoy camping under the tall hardwoods, photographing spring wildflowers, picnicking, and birdwatching. For a more secluded camping experience, paddle across the lake and camp in a canoe campsite. Winter activities include cross-country skiing and snowmobiling on the trails.",state park
St Croix Islands State Recreation Area,Washington,25,1935,St. Croix River,45.08524,-92.78608﻿,Comprises five islands near the St. Croix Boom Site that came under state control but were never developed. Leased to the Saint Croix National Scenic Riverway.[4]: 318,,NA,NA,NA,NA
Saint Croix State Park,Pine,31775,1943,St. Croix River,45.9741154,-92.5835304﻿,Developed as a Recreational Demonstration Area by the CCC and the WPA to repurpose land too poor to farm. The entire park is a National Historic Landmark.[84],,https://stateparks.com/saint_croix_state_park_in_minnesota.html,"30065 St. Croix Park RoadHinckley, Minnesota   55037","Plan an extended visit to St. Croix. With over 34,000 acres and two great rivers: the Saint Croix River, a National Scenic Riverway, and the Kettle River, a State Wild and Scenic River, there's so much to do. Explore the rivers by canoe or with a fishing pole. Swim at Lake Clayton or climb a fire tower. The park has miles of trails for hikers, horseback riders, bicyclists, snowmobilers, and cross-country skiers. Campers can reserve drive-in, walk-in, backpack, and horseback campsites. Large groups can reserve the modern group centers or the primitive group camps.",state park
Sakatah Lake State Park,Le Sueur and Rice,810,1963,Sakatah Lake on the Cannon River,44.2210746,-93.5357792﻿,Features a transitional zone between prairie and Big Woods on a natural widening of the Cannon River.[85],,https://stateparks.com/sakatah_state_park_in_minnesota.html,"50499 Sakatah Lake State Park RoadWaterville, Minnesota   56096","Sakatah-Singing Hills State Trail runs through Sakatah Lake State Park and stretches 39 miles from Mankato to Faribault. The paved trail offers hikers, bikers, skiers, and snowmobilers beautiful scenery through Minnesota's hardwoods. Sakatah Lake, a natural widening of the Cannon River, lures canoeists to paddle the calm waters, and anglers to catch walleye, large mouth and white bass, northern pike, and panfish. Whatever the season, visitors enjoy camping and picnicking.",state park
Savanna Portage State Park,Aitkin and St. Louis,15277,1961,"East and West Savanna Rivers, numerous kettle lakes",46.8374455,-93.1566054﻿,Preserves a historically important and legendarily difficult 6-mile (9.7 km) portage over a continental divide between the watersheds of the Mississippi River and Lake Superior.[86] The portage is on the  NRHP.[6],,NA,NA,"Time slips by when you visit this park of the north. Walk the Savanna Portage Trail, a historic trail traveled by fur traders, Dakota and Ojibwe Indians, and explorers more than 200 years ago. Savanna Portage State Park has 15,818 acres of rolling hills, lakes, and bogs. The Continental Divide marks the great division of water: water to the west flows into the Mississippi River; water to the east runs into Lake Superior. Visitors can hike the Continental Divide Trail and see forested vistas. During the summer, visitors enjoy swimming at Loon Lake. Bike enthusiasts can pedal on roads, or on dirt trails designated for mountain bikes. With four fishing lakes and a river, its common for anglers to catch panfish, trout and bass. Come winter, this park offers snowmobilers approximately 32 miles of trails to explore.",state park
Scenic State Park,Itasca,2370,1921,Sandwick and Coon Lakes,47.7157733,-93.5629701﻿,Features pristine lakes and old-growth pines. Two districts of structures built by the first CCC state park camp in Minnesota are on the NRHP.[87],,https://stateparks.com/scenic_state_park_in_minnesota.html,"56956 Scenic Highway 7Bigfork, Minnesota   56628","With its pristine lakes, virgin pines, swimming beach, and nesting osprey, Scenic State Park is well deserving of its name. Here, visitors can hike the Chase Point Trail for hypnotic views of Coon and Sandwick Lakes and listen to the wind whistle through the the giant pines. The park's overnight facilities include campsites (boat-in, drive-in, backpack), and a guest house. The historic lodge houses interpretive displays.",state park
Schoolcraft State Park,Cass and Itasca,141,1959,Mississippi River,47.2249502,-93.7999449﻿,"Honors Henry Schoolcraft, who charted the origins of the Mississippi River with the Ojibwe guide Ozawindib. Preserves virgin pine forest that includes a white pine over 300 years old.[88]",,NA,NA,"This secluded north woods park is the perfect place to unwind. Quiet and peaceful, the trail system leads hikers through the virgin pine forest that includes a white pine more than 300 years old. Canoeists and anglers enjoy the gentle waters of the Mississippi River. A boat access, picnic area, canoe and drive-in campsites are available to visitors.",state park
Sibley State Park,Kandiyohi,2540,1919,Lake Andrew and other kettle lakes,45.3196867,-95.0230696﻿,"Honors Henry Hastings Sibley, the first governor of Minnesota, with a popular recreational lakeshore and a morainal landscape.[89]  A district of CCC structures is on the NRHP.[90]",,https://stateparks.com/sibley_state_park_in_minnesota.html,"800 Sibley Park Road NortheastNew London, Minnesota   56273","There is something for everyone at this popular west-central Minnesota State Park. Hike to Mount Tom, one of several high points in a 50-mile radius, and see a patchwork of forest, farmland, prairie knolls, and lakes. Summer visitors enjoy swimming, boating, and fishing on Lake Andrew. A canoe route invites adventurers to portage and canoe on Henschien Lake and Swan Lake. The park offers campgrounds, a modern group center, horseback camps, picnic area, and interpretive programs year-around.",state park
Split Rock Creek State Park,Pipestone,947,1937,Split Rock Lake,43.8980264,-96.3642032﻿,Features a recreational reservoir on the Coteau des Prairies.[91],,https://stateparks.com/split_rock_creek_state_park_in_minnesota.html,"336 50th AvenueJasper, Minnesota   56144","Swim, fish, or boat the waters of Split Rock Lake, the largest body of water in Pipestone County. The lake is the predominant feature of this park. Stop by the Beach Side Trail Center for an excellent vista and to discover more about the area. Seven miles north of the park is the famous Pipestone National Monument.",state park
Split Rock Lighthouse State Park,Lake,2112,1945,"Lake Superior, Split Rock River",47.1921472,-91.3929484﻿,"Surrounds the clifftop Split Rock Lighthouse, one of the most photographed lighthouses in the United States.[92] The lighthouse is a National Historic Landmark.",,https://stateparks.com/split_rock_lighthouse_state_park_in_minnesota.html,"3755 Split Rock Lighthouse RoadTwo Harbors, Minnesota   55616","This park is situated on the North Shore of Lake Superior. Perhaps best known for its historic lighthouse, this park offers numerous recreational opportunities. Visitors can cart-in their supplies to pristine campsites along Lake Superior. Scenic trails along the lake link up to the spectacular Superior Hiking Trail. Anglers cast their lines for lake trout, salmon, and brown trout. The rocky beach is perfect for skipping stones into Lake Superior.",state park
Temperance River State Park,Cook,1134,1957,"Lake Superior, Temperance and Cross Rivers",47.5543466,-90.8723722﻿,"Showcases the deep, narrow gorge of the Temperance River (so named for its lack of a ""bar"" at its mouth) and Carlton Peak, a rock climbing area.[93]",,https://stateparks.com/temperance_river_state_park_in_minnesota.html,"5702 Highway 61Silver Bay, Minnesota   55614","Take the trail that winds along the edge of the Temperance River gorge and enjoy the rushing waterfalls surrounded by pine, spruce, cedar and birch forests. The rapidly flowing river has cut deep potholes in and along the riverbed. Hike the trail to Hidden Falls or connect up with trails into the Superior National Forest and the Cross River Wayside. Visitors come to camp and picnic along the shore of Lake Superior. Winter brings cross-country skiers and snowmobilers to tackle the hilly terrain. Carlton Peak, a recent addition to the park, is popular with rock climbers and offers even more recreational opportunities to park visitors.",state park
Tettegouche State Park,Lake,8998,1979,Lake Superior and Baptism River,47.358806,-91.2640506﻿,"Encompasses the tallest waterfall within the state's borders, the iconic headlands of Palisade Head and Shovel Point, and a historic fishing camp which is on the NRHP.[94]",,https://stateparks.com/tettegouche_state_park_in_minnesota.html,"5702 Highway 61Silver Bay, Minnesota   55614","Come to Tettegouche for a great sense of the North Shore: the spectacular overlooks at Shovel Point; rocky, steep cliffs and inland bluffs; the cascading 60 ft. High Falls of the Baptism River; and the historic Tettegouche Camp where visitors can stay the night. This is a hiker's paradise with miles of trails that overlook the Sawtooth Mountains and wind down to inland lakes accessible only by foot. The Palisade Valley Unit features broad scenic vistas coupled with an expanse of multi-use, four-season trails. Two more trout lakes complement the fishing opportunities within the rest of the park. The park is also known for rock climbing opportunities and quality birdwatching in the spring, summer, and especially the fall.",state park
Whitewater State Park,Winona,1672,1919,Whitewater River,44.058297,-92.0587726﻿,Showcases a popular steep-sided river valley in the Driftless Area.[95] A large district of CCC and WPA structures is on the NRHP.[96],,https://stateparks.com/whitewater_state_park_in_minnesota.html,"19041 Highway 74Altura, Minnesota   55910","Picturesque limestone bluffs and deep ravines make Whitewater State Park a very popular southeastern park. The 2,700 acre park is an angler's paradise with brown, brook, and rainbow trout swimming in the spring-fed Whitewater River and Trout Run Creek. Visitors enjoy a sandy swimming beach, a year-round visitor center, easy-to-challenging hiking trails, camping, a group camp, and a modern group center. Come winter, enjoy cross-country skiing, snowshoeing, or stay at the group center in rustic, winterized cabins. All through the year, discover the natural and human history of the area at one of the many interpretive programs, visitor center exhibits or self-guided trails.",state park
Wild River State Park,Chisago,6574,1973,St. Croix River,45.5680159,-92.8757696﻿,Follows 18 miles (29 km) of one of the first waterways designated a National Wild and Scenic River.[97] A section of the Point Douglas to Superior Military Road is on the NRHP.[98],,https://stateparks.com/saint_croix_wild_river_state_park_in_minnesota.html,NA,"Wild River State Park is located along 18 miles of the beautiful St. Croix River. The park attracts people who enjoy camping, hiking, horseback riding, canoeing, interpretive programs, self-guided trails, and cross-country skiing and snowshoeing. Day visitors can enjoy a leisurely paddle down the St. Croix River from the Sunrise river access to the southern park river access. The park provides opportunities for semi-modern camping, group camping, equestrian camping, backpack camping, and canoe camping. Visitors who want modern amenities can reserve the guest house which provides a living room, dining room, kitchen, and fireplace. The park also has six camping cabins which include bunkbeds, a table, and benches. An all-season trail center is a great spot to relax after hiking or cross-country skiing on the 35-mile trail system. A visitor center with exhibits and environmental education programs is open year-round.
",state park
William O'Brien State Park,Washington,1783,1947,St. Croix River,45.2194109,-92.7660423﻿,Provides outdoor recreation opportunities near Minneapolis – Saint Paul.[99],,https://stateparks.com/william_obrien_state_park_in_minnesota.html,"16821 O'Brien TrailNorth Marine-on-St. Croix, Minnesota   55047","A great ""get away"" park only one hour from the Twin Cities, William O'Brien provides a beautiful setting for quality recreation along the banks of the St. Croix River. Hiking trails offer quiet exploration of the park's rolling, wooded hills. For anglers, the channels of the St. Croix have northerns, walleye, bass and trout. Ideal for canoeing, the river is also a migratory pathway that offers visitors an exciting diversity of sights and sounds. In the winter, snowshoeing, skiing and camping attract enthusiasts.",state park
Zippel Bay State Park,Lake of the Woods,2826,1959,Lake of the Woods,48.8638742,-94.8593862﻿,Provides water recreation and birdwatching opportunities on the shore of the country's sixth largest lake.[100],,https://stateparks.com/zippel_bay_state_park_in_minnesota.html,"3684 54th Avenue NorthwestWilliams, Minnesota   56686","After visiting Zippel Bay, you'll remember the sunsets, and the miles of white sand beach. The park is located on the shores of Lake of the Woods, one of the world's largest lakes. Because of its size, the lake freezes much later than most lakes and remains ice covered much later in the spring. In the spring hear the ice as it is stressed by wind and compression. During the winter, visitors will be treated to the intricate ice forms on rocks and the shore. The mood of the lake is always changing, from three-foot high crashing waves, approaching storms and lightening flashes, to an eerie stillness with faint sounds from a thousand raucous gulls, out of sight in the lakes interior. The 3,000-acre park offers a swimming beach on the big lake, a marina in Zippel Bay and stone jetty providing access to Lake of the Woods and safe passage off the lake. Watch for sandhill cranes and piping plovers. The park offers drive-in campsites and a group camp.",state park
Kadunce River State Park,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/kadunce_river_state_park_in_minnesota.html,NA,NA,state park
Upper Sioux Agency State Park,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/upper_sioux_agency_state_park_in_minnesota.html,"5908 Highway 67Granite Falls, Minnesota   56241","Upper Sioux Agency State Park contains the site of the Upper Sioux or Yellow Medicine Agency. The park was established in 1963 to preserve and interpret the remains of the old Agency site. The park covers 1,280 acres and offers diversity: open prairie knolls, bluffs, and cool, wooded slopes. From the vistas, visitors enjoy the trails which are ideal for horseback riding, hiking, skiing, and snowmobiling. The park also offers a huge sliding hill for winter fun.",state park
Badoura State Forest,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/badoura_state_forest_in_minnesota.html,NA,"Badoura State Forest in Minnesota is a serene and diverse natural haven, encompassing an impressive 206,000 acres of picturesque landscapes. Its dense forests offer a breathtaking tapestry of towering pines, vibrant hardwoods, and fragrant wildflowers, providing a haven for a myriad of wildlife species. The forest is adorned with sparkling lakes that allure visitors with their crystal-clear waters and offer opportunities for peaceful fishing, boating, and swimming delights. Trails meander through the verdant wilderness, inviting hikers, bikers, and horseback riders to immerse themselves in the tranquility and discover hidden gems awaiting around every corner. With its untouched beauty and abundant recreational possibilities, Badoura State Forest captivates the hearts of nature enthusiasts and offers a sanctuary from the hustle and bustle of everyday life.",state forest
Battleground State Forest,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/battleground_state_forest_in_minnesota.html,NA,"Battleground State Forest, located in Minnesota, is a natural oasis that captivates visitors with its pristine beauty and diverse ecosystem. Spanning over a vast area, it encompasses dense forests, rolling hills, and tranquil lakes, offering a sanctuary for outdoor enthusiasts and nature lovers alike. The forest's towering trees provide a habitat for numerous wildlife species, while its well-maintained trails lure hikers, bikers, and equestrians to immerse themselves in the wilderness. With its rich biodiversity, scenic landscapes, and peaceful ambiance, Battleground State Forest is a cherished haven that invites individuals to reconnect with nature and find solace in its remarkable serenity.",state forest
Bear Island State Forest,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/bear_island_state_forest_in_minnesota.html,NA,"Bear Island State Forest is a pristine and sprawling wilderness located in northern Minnesota, encompassing over 30,000 acres of breathtaking natural beauty. With its dense forests, crystal-clear lakes, and meandering rivers, the forest is a haven for outdoor enthusiasts and nature lovers alike. Its diverse ecosystem supports an abundance of wildlife, including black bears, moose, white-tailed deer, and various bird species. Hiking trails wind through the forest, offering adventurers the chance to explore its secluded valleys, towering bluffs, and peaceful wetlands. Whether it's fishing, camping, birdwatching, or simply immersing oneself in the tranquility of nature, Bear Island State Forest is a serene and captivating destination for all who venture within its borders.",state forest
Beltrami Island State Forest,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/beltrami_island_state_forest_in_minnesota.html,NA,"Beltrami Island State Forest, encompassing over 700,000 acres in northwest Minnesota, showcases the raw beauty of the Northwoods. The forest boasts an array of diverse habitats, including aspen, birch, and pine forests, vast wetlands, and sprawling peatlands. Its undulating landscape is intersected by meandering rivers and dotted with countless lakes. Beltrami Island State Forest offers outdoor enthusiasts ample opportunities for exploration, with miles of hiking trails, scenic waterways for canoeing and kayaking, and well-maintained campsites. Wildlife thrives in this captivating forest, allowing visitors to catch glimpses of deer, moose, black bears, and a variety of bird species. Whether you seek solitude among nature's tranquility or thrilling outdoor adventures, Beltrami Island State Forest provides a haven for all nature lovers.",state forest
Big Fork State Forest,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/big_fork_state_forest_in_minnesota.html,NA,"The Big Fork State Forest, located in northern Minnesota, is renowned for its vast wilderness and picturesque landscapes. Stretching over 500,000 acres, this forest offers a diverse range of outdoor activities and stunning natural beauty. Bordered by the Little Fork River, the forest boasts numerous lakes and streams, making it a haven for fishing enthusiasts. Visitors can also explore the extensive network of trails that wind through the forest, perfect for hiking, biking, or wildlife spotting. With its dense forests, sparkling waters, and abundant wildlife, the Big Fork State Forest provides an idyllic retreat for nature lovers and outdoor enthusiasts seeking tranquility and adventure.",state forest
Birch Lake State Forest,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/birch_lake_state_forest_in_minnesota.html,NA,"Birch Lake State Forest in Minnesota is a picturesque expanse of natural beauty, encompassing over 48,000 acres of forested land. Located in the heart of the state, this serene forest offers a diverse array of recreational activities, from hiking and biking on the well-maintained trails, to fishing and boating on the sparkling Birch Lake. Nature lovers will delight in the abundance of native flora and fauna, while camping enthusiasts can find solace in the rustic, secluded campsites scattered throughout the forest. With its tranquil atmosphere and stunning vistas, Birch Lake State Forest provides a perfect escape from the bustling city life, allowing visitors to truly reconnect with nature.",state forest
Blackduck State Forest,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/blackduck_state_forest_in_minnesota.html,NA,"Located in the northern part of Minnesota, the Blackduck State Forest is a pristine wilderness area spread across thousands of acres, known for its abundant natural beauty. This enchanting forest is characterized by a diverse range of ecosystems, including lush forests of majestic pines, sprawling wetlands, picturesque lakes, and rolling hills. The serene atmosphere is punctuated by the melodious chirping of birds and the rustling of leaves as wildlife thrives within its bounds. With an extensive network of trails, it offers exceptional recreational opportunities for hiking, biking, camping, wildlife observation, and fishing. The Blackduck State Forest is a nature lover's paradise, providing a haven of tranquility and a connection to the rich natural heritage of Minnesota.",state forest
Bowstring State Forest,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/bowstring_state_forest_in_minnesota.html,NA,"The Bowstring State Forest is a scenic woodland located in northern Minnesota that spans over 77,000 acres. This forest is characterized by its pristine lakes, rolling hills, and diverse mix of trees, including towering pines, birch, and maple. The area offers numerous recreational opportunities such as hiking, camping, and wildlife viewing, with an abundance of deer, grouse, and waterfowl. With its tranquil beauty and abundant natural resources, the Bowstring State Forest is a true oasis for outdoor enthusiasts and nature lovers alike.",state forest
Buena Vista State Forest,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/buena_vista_state_forest_in_minnesota.html,NA,"Buena Vista State Forest, located in northern Minnesota, is a pristine and diverse natural sanctuary that spans over 6600 acres. With its towering old-growth pine trees, scenic water bodies, and abundant wildlife, this forest offers a serene escape into nature. Visitors can explore the numerous hiking trails, meander through the lush fern-covered forest floor, or enjoy a peaceful picnic by the clear and picturesque lakes. The forest is also popular among bird watchers, as it serves as a habitat for various bird species, including bald eagles and colorful warblers. With its tranquil atmosphere and untouched beauty, Buena Vista State Forest is a captivating destination for nature enthusiasts seeking solace in the heart of Minnesota.",state forest
Burntside State Forest,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/burntside_state_forest_in_minnesota.html,NA,"Burntside State Forest, located in northeastern Minnesota, encompasses over 65,000 acres of diverse landscapes, making it a nature lover's paradise. This stunning forest boasts thick forests of towering pine and hardwoods, sparkling lakes, pristine river systems, and rolling hills, providing an ideal habitat for an array of wildlife species. Outdoor enthusiasts can indulge in activities such as hiking, camping, fishing, birdwatching, and hunting, while also enjoying scenic views and solitude in this serene and enchanting wilderness.",state forest
